username,review,rating,date,cleaned_review
Cyber Mars,"""Invalid Mobile network. Yello. please turn off your WiFi connection and use MTN mobile internet to access your account."" What could this mean because I am not using WiFi?",1,2026-04-25 14:56:18,invalid mobile network yello please turn off your wifi connection and use mtn mobile internet to access your account what could this mean because i am not using wifi
Belinda Busingye,I can't see my mobile money account and yet that's the main reason I downloaded it.,1,2026-04-25 09:29:11,i cant see my mobile money account and yet thats the main reason i downloaded it
Aineamatsiko Brian,mtn improve your app,1,2026-04-23 19:12:16,mtn improve your app
Nazziwa Alaisa,not work when u open,5,2026-04-23 10:20:40,not work when u open
Leticia Costance,it's not opening,1,2026-04-22 10:31:08,its not opening
Bogere Mike,mine has failed it keeps requesting I discount wifi despite me doing so,2,2026-04-22 09:08:41,mine has failed it keeps requesting i discount wifi despite me doing so
Peter okurut,"Every time I try to login I'm told disconnect wifi and use cellular data, and when I try that it again tells me there's no network, I've tried several times and given up.",1,2026-04-22 08:31:57,every time i try to login im told disconnect wifi and use cellular data and when i try that it again tells me theres no network ive tried several times and given up
Winnie Busima (Winnie Busima),"Tell me why I can't use WIFI but instead data, I am using your very WIFI wakanet and today I wanted to check for the data quota and its bringing wrong USSD. When did you change the USSD? and didn't tell us. 1 months in and I have started to shout??",2,2026-04-21 17:07:05,tell me why i cant use wifi but instead data i am using your very wifi wakanet and today i wanted to check for the data quota and its bringing wrong ussd when did you change the ussd and didnt tell us months in and i have started to shout
Francis Musango,can't log in even with mtn internet,1,2026-04-20 21:53:46,cant log in even with mtn internet
Counsel zaharah,"The app has failed like how many times , this is too much",1,2026-04-20 13:42:40,the app has failed like how many times this is too much
fredda Onekz,this app looks like a scam in your data. I can't even open it because it keeps rejecting that I use mtn data yet I use no line apart from mtn for cellular data,1,2026-04-19 23:24:00,this app looks like a scam in your data i cant even open it because it keeps rejecting that i use mtn data yet i use no line apart from mtn for cellular data
Emmanuel Songa,"this app now failed to perform the work, is now worse, it keep telling survival errors",1,2026-04-19 18:45:49,this app now failed to perform the work is now worse it keep telling survival errors
Tsawodzi Atsu,I want to use this bundle,5,2026-04-19 06:39:55,i want to use this bundle
KISAKYE LYNDA,not working,1,2026-04-19 01:05:59,not working
Rolenzo Dj,amazing to use,4,2026-04-18 20:22:46,amazing to use
Anam Raymond,The best network ever,5,2026-04-18 06:58:17,the best network ever
Tumuhairwe Scovia,not working for me,1,2026-04-17 18:53:29,not working for me
Patricia Abaho,MyMTNUganda is terrible! MTN Uganda Internet will let you down..,1,2026-04-17 18:21:24,mymtnuganda is terrible mtn uganda internet will let you down
Kizito Vicent,the up is acting weared it show invalid mobile network even if your are connected to moblie network,1,2026-04-17 15:24:01,the up is acting weared it show invalid mobile network even if your are connected to moblie network
Lucky Chilling,real mtn app,5,2026-04-16 18:33:13,real mtn app
Murket Elijah Chemoiko,why it say turn off WiFi but wifi off. I can't access the app,3,2026-04-16 11:08:12,why it say turn off wifi but wifi off i cant access the app
Fathi Karim,Not working for MTN Sudan anymore. Why?,1,2026-04-15 12:26:34,not working for mtn sudan anymore why
ATUKUNDA SUZAN,the app doesn't even work after downloading it 👐,1,2026-04-15 11:52:15,the app doesnt even work after downloading it
Ssembule Jos,app doesn't open. keeps bringing invalid mobile network.,1,2026-04-15 08:53:19,app doesnt open keeps bringing invalid mobile network
Muyingo Isma,Best app ever,4,2026-04-12 13:25:26,best app ever
FEB 11 OFFICIAL,it is very good,4,2026-04-11 17:24:35,it is very good
Bashk International,I like mtn network more than other networks,5,2026-04-11 10:02:01,i like mtn network more than other networks
Ssemwogerere Phillip,"hello mtn ,why is my mtn limiting me on afree data to use this app, what can i do because i thought its free so long as am using mtn internet",1,2026-04-10 19:20:48,hello mtn why is my mtn limiting me on afree data to use this app what can i do because i thought its free so long as am using mtn internet
Sauda Zaria,"It's very annoying. Even when you have data, it doesn't work as expected.",2,2026-04-09 17:35:33,its very annoying even when you have data it doesnt work as expected
Solomon Onena,"Smooth, reliable, and user-friendly - one of the best telecom apps. Highly impressed with the performance!",5,2026-04-08 22:55:10,smooth reliable and userfriendly one of the best telecom apps highly impressed with the performance
Deryck,Too slow to open up its really annoying sometimes it totally refuses to open up even when there is internet connection. I for one don't recommend it for other staff apart from data discounts.,1,2026-04-08 22:39:47,too slow to open up its really annoying sometimes it totally refuses to open up even when there is internet connection i for one dont recommend it for other staff apart from data discounts
kayongo patrick,unrivaled app,5,2026-04-08 07:07:24,unrivaled app
mccolvin okiria,"It just doesn't open,it keeps bringing Invalid mobile network and that's where it stops",1,2026-04-06 14:10:22,it just doesnt openit keeps bringing invalid mobile network and thats where it stops
John Chol Akeen Akeen,more interested,5,2026-04-05 16:03:20,more interested
Nabbanja Babra,MTN is very good and easy,5,2026-04-02 12:57:32,mtn is very good and easy
giraneza jimmy,not working well,1,2026-04-01 13:41:12,not working well
Ntanzi Edrine,Fast and affordable,5,2026-03-31 08:29:04,fast and affordable
Kimera,"Good app,I really love it 😀",5,2026-03-28 15:31:16,good appi really love it
Baguma Bumali,The app is good,1,2026-03-28 06:56:40,the app is good
Mariam Wanyana,the network is poor,1,2026-03-24 09:34:17,the network is poor
Kashalt Rash,this app is🤮🤮🤮🤮,1,2026-03-24 06:27:00,this app is
Twebaze Allen,This is a great app. the services are easier used,5,2026-03-23 23:39:23,this is a great app the services are easier used
Quincy Kelly,Fast Easy and Reliable,5,2026-03-23 23:15:08,fast easy and reliable
Fathi Ayiko,Has failed to work in my phone,1,2026-03-23 16:21:26,has failed to work in my phone
Nasasira Isaac,very poor won't let me even login,1,2026-03-22 15:48:34,very poor wont let me even login
Michael Nagenda,it doesn't launch,1,2026-03-22 11:20:52,it doesnt launch
irine nandudu,installed it for the first time but it's been disappointing. I can't access the app.,2,2026-03-21 15:52:49,installed it for the first time but its been disappointing i cant access the app
Kawooya Abdurrahiman,failed to work,5,2026-03-21 13:53:14,failed to work
Arthur Erthur,It is maverous. lt is easy to use.1️⃣🥰🥰🥰🥰🥰,5,2026-03-20 17:32:17,it is maverous lt is easy to use
Mack Byom,very annoying,1,2026-03-19 21:19:42,very annoying
Akandwanaho Osbert,exceptional,5,2026-03-19 13:54:38,exceptional
Derrick Harvards,it's not working 😢,1,2026-03-18 11:38:12,its not working
Omulur Peter,I have a problem with this app,5,2026-03-16 21:11:57,i have a problem with this app
Afuzal Ssekyema,worst app ever I can't login yet I'm using there silly network.. mobile whatever fix that mtn,1,2026-03-16 19:58:41,worst app ever i cant login yet im using there silly network mobile whatever fix that mtn
Nantuuwa Phiona,easy to use,5,2026-03-16 19:38:08,easy to use
Akello Mercy,looks like it's not meant for Samsung users,1,2026-03-16 16:30:11,looks like its not meant for samsung users
Yekunu Tekel,keeps crashing!!!,1,2026-03-16 15:31:43,keeps crashing
Okurut Stephen luke,just simple to use quick and helpful,5,2026-03-16 09:42:58,just simple to use quick and helpful
Nampeela Christine,very nice if it workz,5,2026-03-15 17:46:20,very nice if it workz
Nuurah Nakaye,this app is 0%. I am an MTN user. I have installed it multiple times but it not working. whenever I open the app it tells me to switch off WiFi and I use mtn mobile data. but after doing so it closes itself. it really annoys me.,1,2026-03-15 15:13:17,this app is i am an mtn user i have installed it multiple times but it not working whenever i open the app it tells me to switch off wifi and i use mtn mobile data but after doing so it closes itself it really annoys me
Mwisha Dominique,it's so good,2,2026-03-14 23:07:59,its so good
Gilbert Amooti,Just perfect,5,2026-03-14 08:21:49,just perfect
Junis Wise,Always available anytime,5,2026-03-13 08:55:28,always available anytime
Ogenduzi Philofilo,great to use the apps,5,2026-03-12 10:08:26,great to use the apps
Alex Mukisa,l have a problem on my mtn app,5,2026-03-11 14:45:10,l have a problem on my mtn app
Cj simpo Charlz,"why is it refusing to open in my phone , I mean I can't access its services it only tells me that the mobile internet is off even when I'm using MTN data",1,2026-03-11 10:03:16,why is it refusing to open in my phone i mean i cant access its services it only tells me that the mobile internet is off even when im using mtn data
Ogen Moris,my mtn app is not opening why?,5,2026-03-11 07:24:55,my mtn app is not opening why
Masaja Cyrus,me love it that's why I have chosen mtn network the best,5,2026-03-10 21:44:45,me love it thats why i have chosen mtn network the best
essy muks,the app keeps on saying turn off wifi even if wifi is off and neva allows u access the it.its so annoying,1,2026-03-10 17:07:52,the app keeps on saying turn off wifi even if wifi is off and neva allows u access the itits so annoying
gwanala keneth,the app can't purchase. data it is ever off o. network,1,2026-03-06 17:20:05,the app cant purchase data it is ever off o network
Nsubuga Henry Wilberforce,This app doesn't even perform half the tasks they claim it can perform. I am unable to use it to manage my wakanet fiber account. I wish there was a way of giving a quarter star🙄🙄,1,2026-03-06 15:37:22,this app doesnt even perform half the tasks they claim it can perform i am unable to use it to manage my wakanet fiber account i wish there was a way of giving a quarter star
Tim Bin okware,not working good with my phone,1,2026-03-05 12:43:43,not working good with my phone
Alema Edrick,worst app. mtn you can do better,1,2026-03-04 18:56:54,worst app mtn you can do better
MUKASA DANIEL,"it has connections issues all the time u get ""failed to establish a secure connection please try again later""",2,2026-03-04 14:13:38,it has connections issues all the time u get failed to establish a secure connection please try again later
SSERUNKUMA Enock,this app is nolonger working,1,2026-03-03 20:19:53,this app is nolonger working
isaac mudoko,am using mtn but it's telling me invalid network so I can't access it 😔😥,1,2026-03-03 18:10:12,am using mtn but its telling me invalid network so i cant access it
Janet Arap,the app can't open even if am using data only,1,2026-02-28 22:18:47,the app cant open even if am using data only
dtads,app no longer works. it keeps thinking n am connected to WiFi and closes down immediately. even though I am not connected to WiFi. its best MTN scrap the app a start again.,1,2026-02-28 21:04:59,app no longer works it keeps thinking n am connected to wifi and closes down immediately even though i am not connected to wifi its best mtn scrap the app a start again
Phionah Kyomuhendo,the app is displaying mtn pulse why????,1,2026-02-28 12:54:41,the app is displaying mtn pulse why
Benjamin,this app is terrible this app is so terrible when you try to open it they say switch on your internet and when you switch on your internet they tell you you have a connection problem like literally what's wrong it is so so bad I'm very disappointing if you install it right now it won't work,1,2026-02-27 10:40:22,this app is terrible this app is so terrible when you try to open it they say switch on your internet and when you switch on your internet they tell you you have a connection problem like literally whats wrong it is so so bad im very disappointing if you install it right now it wont work
Christine Benedict Nassolo,the app is not responding why,4,2026-02-25 21:25:15,the app is not responding why
Najjengo Valerian,the app is not opening,1,2026-02-25 17:01:01,the app is not opening
Kirungi Joshua,"I bought my sms package, you guys took my money plus charges and just ate it. that's stealing",1,2026-02-25 05:37:28,i bought my sms package you guys took my money plus charges and just ate it thats stealing
Sendagi Henry,how do I check my balance on data,5,2026-02-24 12:20:35,how do i check my balance on data
Jemmie Tim,why can't I open the app even with mobile data on,1,2026-02-23 18:56:57,why cant i open the app even with mobile data on
Ariho Emmanuel,it is not opening........,1,2026-02-23 18:09:38,it is not opening
KIMULI BRENDA,"Please, fix the app. it's not working at all. I sacrificed my data to download the app but it says switch wifi and use MTN data and yet I'm using an MTN data. it has failed to open even. MTN , please fix it",1,2026-02-22 13:11:24,please fix the app its not working at all i sacrificed my data to download the app but it says switch wifi and use mtn data and yet im using an mtn data it has failed to open even mtn please fix it
Joan Namakula,the app doesn't open on my device . Samsung galaxy note 9,1,2026-02-22 11:43:40,the app doesnt open on my device samsung galaxy note
Joseph Maloba,convenient to use at any time,5,2026-02-22 07:00:41,convenient to use at any time
Mugabe Davis,"failure to open , operation ,but otherwise it was good",3,2026-02-21 19:40:45,failure to open operation but otherwise it was good
Shahid Abdul,not working on my phone,1,2026-02-21 14:38:04,not working on my phone
syed shah,mtn always is the best,5,2026-02-18 21:23:34,mtn always is the best
Murungi Isaac,"it's a good app, but I really wish it could be improved to so that it is possible for me to get help, or talk with an MTN service provider",4,2026-02-18 17:54:43,its a good app but i really wish it could be improved to so that it is possible for me to get help or talk with an mtn service provider
arachabon Thimothy,"it is the worst upgrade, how can the app refuse to open just because idont have data and also iwant to open it to buy data, mt please think of this and without stable connection u cant use it even though you have data.. this is not good at all",1,2026-02-18 15:15:50,it is the worst upgrade how can the app refuse to open just because idont have data and also iwant to open it to buy data mt please think of this and without stable connection u cant use it even though you have data this is not good at all
Okumu Ivan Odida,"Very unreliable app When run out of data, you can't even access it to buy more data",1,2026-02-17 19:30:58,very unreliable app when run out of data you cant even access it to buy more data
Sseguya Godfrey,my mtn app doesn't work it shows unable to establish secure connection plz try again later,1,2026-02-17 18:05:58,my mtn app doesnt work it shows unable to establish secure connection plz try again later
MICHAEL DAVIS MISANGO,Bad experience. not working,3,2026-02-17 15:55:40,bad experience not working
Drent Livinz,the apps doesn't work,1,2026-02-17 15:12:32,the apps doesnt work
Michael Palmer,"It keeps saying ""Unable to establish a secure connection, please try again later!!"" I can't use it. it won't let me!!",1,2026-02-17 08:17:57,it keeps saying unable to establish a secure connection please try again later i cant use it it wont let me
gipaan pats,"This excuse of an app doesn't recognise mobile data. Keeps telling you to switch off WiFi, yet WiFi is not even connected to your phone",1,2026-02-16 22:18:37,this excuse of an app doesnt recognise mobile data keeps telling you to switch off wifi yet wifi is not even connected to your phone
Musoke Hassan,poor poor performance!,1,2026-02-16 17:10:06,poor poor performance
Cartoon Gaming,"for installation fiber internet they have fast service but if you have some problems in your internet they will not respond , from 4 days I'm sending them msg email every day they want I want 24 hours ,so plz if any one planning for MTN fiber for business purposes be careful",1,2026-02-16 13:26:48,for installation fiber internet they have fast service but if you have some problems in your internet they will not respond from days im sending them msg email every day they want i want hours so plz if any one planning for mtn fiber for business purposes be careful
Liberty Emmanuel,it's not responding,1,2026-02-15 10:20:08,its not responding
Luwaga Jovan,worst update ever uninstalling,1,2026-02-15 09:37:13,worst update ever uninstalling
Rackara Emmanuel,This is actually the most annoying version of all time. The previous version was working so well but this new update haaa don't even waste your data downloading it.,1,2026-02-14 13:26:01,this is actually the most annoying version of all time the previous version was working so well but this new update haaa dont even waste your data downloading it
odoi jethro,"Mobile Data payments do not reflect at times, you check the app and it says you have the data you bought via the app, but when you dial *131# the data purchased is not there or even working when you try to use internet, and customer support seems not to be effective, I have talked to the chat bot and a customer support individual and no results that give me the data I paid for till now, very disappointing.",1,2026-02-14 10:02:22,mobile data payments do not reflect at times you check the app and it says you have the data you bought via the app but when you dial the data purchased is not there or even working when you try to use internet and customer support seems not to be effective i have talked to the chat bot and a customer support individual and no results that give me the data i paid for till now very disappointing
Onencan Emmanuel,Great apps and has eased my access to mtn products,5,2026-02-13 22:27:35,great apps and has eased my access to mtn products
Benny Lamar,"To be honest, I am an MTN die-hard user. It shouldn't go without saying that the idea of the app is a game changer however, becoming slightly worse with every update is not the way to go. Just today alone, I have deleted and uninstalled it almost 6 times because it ""Has failed to connect to the server"" please work on this issue. Display could use some real help too",1,2026-02-13 20:09:22,to be honest i am an mtn diehard user it shouldnt go without saying that the idea of the app is a game changer however becoming slightly worse with every update is not the way to go just today alone i have deleted and uninstalled it almost times because it has failed to connect to the server please work on this issue display could use some real help too
Kinene Rahma,what happened to this app it's not working,1,2026-02-13 10:53:34,what happened to this app its not working
Chemonges Enoch,why does it say turn off wifi when I am clearly using MTN data and now I can't use the app,1,2026-02-13 08:58:21,why does it say turn off wifi when i am clearly using mtn data and now i cant use the app
Lawrence Trevor,very poor interface n slow,2,2026-02-11 14:54:09,very poor interface n slow
Marvin Cullen,"I would really want to use this app again, but it has failed whenever I install and open, it brings an invalid mobile network despite me having mtn data running. so what can I do to fix that.",1,2026-02-11 14:44:25,i would really want to use this app again but it has failed whenever i install and open it brings an invalid mobile network despite me having mtn data running so what can i do to fix that
Isma Dk,why mtn up was not open,5,2026-02-11 13:53:32,why mtn up was not open
Jackson Byamungu,hello. this app doesn't work well in my smart phone. I would like to know why,1,2026-02-10 17:06:26,hello this app doesnt work well in my smart phone i would like to know why
Da dude,For a while this app was so smooth even without loading data you could access it but all of a sudden it's now zero-rated. You can't open it now without having data even with loading data it still refuses to open 😑. Please work on this one otherwise 🚮,1,2026-02-10 11:24:09,for a while this app was so smooth even without loading data you could access it but all of a sudden its now zerorated you cant open it now without having data even with loading data it still refuses to open please work on this one otherwise
Bbaale Chrish,this app is good and give free Data after download but it takes long to load,1,2026-02-08 19:35:45,this app is good and give free data after download but it takes long to load
Masereka Ednus,very friendly to use,5,2026-02-07 19:33:37,very friendly to use
Tara Anisha,Igive it five hundred,1,2026-02-07 16:34:59,igive it five hundred
Dusenge Aime parfait,this application is very good too have it,5,2026-02-07 12:48:52,this application is very good too have it
Kasiimire Martin,it doesn't work 😭😭😭,5,2026-02-06 08:55:51,it doesnt work
Moreen Abedirwoth,free 500 data MBs for New user,5,2026-02-05 14:14:30,free data mbs for new user
Jordan Amanya,can't you restore the previous version before the mtn pulse was added into it now it buffers every chance it gets I can't even buy a bundle,1,2026-02-05 12:58:47,cant you restore the previous version before the mtn pulse was added into it now it buffers every chance it gets i cant even buy a bundle
Ndibazza Genesis,Good so far but Im confused on how to see my current data plz help REFUSE THIS MTN PULSE FROM SHOWING ON IT PLZZ😭😭,3,2026-02-04 23:58:40,good so far but im confused on how to see my current data plz help refuse this mtn pulse from showing on it plzz
Mbambu Alice,am glad to be part of this app,5,2026-02-02 18:49:39,am glad to be part of this app
Iyadi Mujuni,truly mtn is the best,5,2026-02-02 07:44:42,truly mtn is the best
Hafashimana Jean Felix,your app doesn't do it's fake too,2,2026-01-31 23:20:53,your app doesnt do its fake too
Nabimanya Derrick,why am I not getting my MTN uganda?,1,2026-01-30 19:17:33,why am i not getting my mtn uganda
Sharon Nasande,the app is telling me to turn off Wiffi,1,2026-01-29 12:23:36,the app is telling me to turn off wiffi
Adong Susan,good app and always,5,2026-01-28 19:39:47,good app and always
Raymond Aturinda,it has failed to open,1,2026-01-28 17:33:52,it has failed to open
Nickson Arineitwe,Not effective at all,1,2026-01-28 10:50:00,not effective at all
Joshua Mukuru,Cool with cheap data,3,2026-01-28 09:14:30,cool with cheap data
0nena Psalms,I wasted my data and downloaded it many times and it keeps saying turn off WiFi and use only mobile data yet am using only data MTN pliz fox diz prob so dat it works on ma oppo phone,1,2026-01-28 06:49:09,i wasted my data and downloaded it many times and it keeps saying turn off wifi and use only mobile data yet am using only data mtn pliz fox diz prob so dat it works on ma oppo phone
Luxsonic Robert Olangu Luxsonic Robert,I like the way this app works thank you for your service too,5,2026-01-27 00:47:47,i like the way this app works thank you for your service too
Ssendawula Paul,the app tells me to turn off Wi-Fi and use MTN internet every time I open it. it doesn't work on my Samsung. Developers work on my issue.,1,2026-01-26 09:41:32,the app tells me to turn off wifi and use mtn internet every time i open it it doesnt work on my samsung developers work on my issue
Ndawula Pascal,it's better than MTN agents 😄 and it's fast secure and just 😎🆒,5,2026-01-26 08:09:34,its better than mtn agents and its fast secure and just
Niko Niko pulo,nice to u g 🙋‍♀️,5,2026-01-24 18:03:05,nice to u g
Hhh,Not yet working as expected.,1,2026-01-24 15:13:04,not yet working as expected
Eddy Murphy,This app doesn't have a mobile money access only airtime,2,2026-01-24 12:46:54,this app doesnt have a mobile money access only airtime
Naomi enid Kasemire,only problems,5,2026-01-23 20:28:42,only problems
Mwongere Yokasi,so good but reach time and get expired were they could not give u offers,5,2026-01-23 11:50:12,so good but reach time and get expired were they could not give u offers
Omiat Desmond,somehow cool,3,2026-01-22 17:09:53,somehow cool
Akia Margret,I have liked it so much,5,2026-01-22 12:20:24,i have liked it so much
Isaac Kasinguzi,it hasn't helped me,1,2026-01-22 10:24:11,it hasnt helped me
Adongo Dorcus,I downloaded my mtnapp but it's not working,1,2026-01-22 10:10:41,i downloaded my mtnapp but its not working
Elly Tumuhimbise,App is good,5,2026-01-22 08:11:09,app is good
Ann Marie Nabitosi,doesn't work anymore,1,2026-01-22 00:04:37,doesnt work anymore
mayeku luke,it used to work but now it's fake,1,2026-01-21 09:59:52,it used to work but now its fake
mophat atibo akuaku,of recent I have experienced data drained without surfing. the second experience just happened today am extremely disappointed with your service,1,2026-01-20 19:20:18,of recent i have experienced data drained without surfing the second experience just happened today am extremely disappointed with your service
Simon Adingli Lomonyang,it has been very helpful and rescuing..,5,2026-01-20 16:23:39,it has been very helpful and rescuing
SHAKIRA HUSSEIN,MTN is a scam i sent airtime using MTN i sent it on my Airtel it's been 2 days now and airtime has never been received yet they redacted it from my account you buy data without doing anything with it it's finished now they take money for free and their customer service is never available,1,2026-01-19 12:26:12,mtn is a scam i sent airtime using mtn i sent it on my airtel its been days now and airtime has never been received yet they redacted it from my account you buy data without doing anything with it its finished now they take money for free and their customer service is never available
Okiring Millan Edward,"Poor UX, very slow and sluggish. Additionally the App can't work on WiFi.",1,2026-01-18 18:49:33,poor ux very slow and sluggish additionally the app cant work on wifi
Babra Anyait,"This is where Airtel Uganda wins, we can access their app on data and Wifi too. i have resorted to using mtn for only incoming calls",1,2026-01-18 18:05:13,this is where airtel uganda wins we can access their app on data and wifi too i have resorted to using mtn for only incoming calls
Ahumuza catherinegrace,"""unable to secure a stable connection, please try again later"" that's all it says. I try to buy data to use it, and it still says that. I am really tired of this app. it was nice at first but changes were made and it never came back the same. I hate it now.",1,2026-01-17 23:30:29,unable to secure a stable connection please try again later thats all it says i try to buy data to use it and it still says that i am really tired of this app it was nice at first but changes were made and it never came back the same i hate it now
Emmanuel,I have no wifi connection yet it insists I need to turn it off.... what's with that...I'm tired of this...I quit,1,2026-01-13 06:42:14,i have no wifi connection yet it insists i need to turn it off whats with thatim tired of thisi quit
Muwawu Moses,"VERY INCONVENIENT!! 1. Without MTN data, you can't use it. 2. I can't send money using it.",1,2026-01-12 19:58:02,very inconvenient without mtn data you cant use it i cant send money using it
Shafic Kateregga,when you tap in it.... it takes you to MTN pulse instead....,1,2026-01-12 11:52:26,when you tap in it it takes you to mtn pulse instead
Mumbere Franklic,This app is very nice especially for data and other offers,5,2026-01-11 20:39:13,this app is very nice especially for data and other offers
LEONARD Tukashaba,its brings turn off wifi and use data. probably not fair,1,2026-01-11 00:33:37,its brings turn off wifi and use data probably not fair
Blaqk Nicq,This app is too good I swear,5,2026-01-10 16:48:42,this app is too good i swear
Poppins Icon,unstable connections,1,2026-01-10 06:14:05,unstable connections
tusiime micheal,Installed the app but it doesn't open.. I'm on MTN internet but it just doesn't open. this app should just be removed from the store.... These guys are just unserious. 2026.same problem. can't login,1,2026-01-10 00:50:35,installed the app but it doesnt open im on mtn internet but it just doesnt open this app should just be removed from the store these guys are just unserious same problem cant login
James,The app does not work. It should be removed from the Google App store.,1,2026-01-09 19:16:11,the app does not work it should be removed from the google app store
Hon Andre,this App doesn't work on my phone,1,2026-01-09 18:15:37,this app doesnt work on my phone
Wamono Akram,mine is not working,5,2026-01-08 01:11:58,mine is not working
Pius,This is mtn pulse not MTN app it's all confused up,1,2026-01-07 20:01:09,this is mtn pulse not mtn app its all confused up
VOIKU ALORA,The app has never open for me since I installed it,1,2026-01-07 10:39:17,the app has never open for me since i installed it
Harrison Wanyoto,No matter how many times I tried it wouldn't let me register an account even when I spent money to get data to do so and I wish I would put 0 stars,1,2026-01-07 10:20:27,no matter how many times i tried it wouldnt let me register an account even when i spent money to get data to do so and i wish i would put stars
A Google user,Sending money to differet accounts and it keeps your money safe,5,2026-01-06 20:58:07,sending money to differet accounts and it keeps your money safe
mbabazi Travor,the app was better but ur updates a destroying it though I hv data it can't open make it data charge free lyk B4 or live it coz though I hv data it can't open,1,2026-01-05 07:56:01,the app was better but ur updates a destroying it though i hv data it cant open make it data charge free lyk b or live it coz though i hv data it cant open
Atugonza Jane,good app and ⏩,5,2026-01-04 12:57:46,good app and
Hind AlHawari,Why aren't we autherized to use this app?,5,2026-01-04 08:12:50,why arent we autherized to use this app
Anzoa Kelly,it's saying that I should switch off my Wi-Fi yet it is not on,5,2026-01-03 16:11:11,its saying that i should switch off my wifi yet it is not on
Natukunda Cleophas claire,there is a problemwith the app it's opens as a MTN pulse,1,2026-01-03 11:00:53,there is a problemwith the app its opens as a mtn pulse
Humble_ËL_Proffesor,"My app is always updated but it says ""Unable to connect server🥺",1,2026-01-03 09:59:40,my app is always updated but it says unable to connect server
Suzie Q.,Great app many functions and perks more details on app about your number,4,2026-01-02 20:03:57,great app many functions and perks more details on app about your number
