username,review,rating,date
Fathi Ayiko,Has failed to work in my phone,1,2026-03-23 16:21:26
Nasasira Isaac,very poor won't let me even login,1,2026-03-22 15:48:34
Michael Nagenda,it doesn't launch,1,2026-03-22 11:20:52
Ilukol Augustine,very fake.,4,2026-03-21 18:02:13
irine nandudu,installed it for the first time but it's been disappointing. I can't access the app.,2,2026-03-21 15:52:49
Kawooya Abdurrahiman,failed to work,5,2026-03-21 13:53:14
Ssemwogerere Brian,Best app,5,2026-03-21 09:05:46
Arthur Erthur,It is maverous. lt is easy to use.1️⃣🥰🥰🥰🥰🥰,5,2026-03-20 17:32:17
Mack Byom,very annoying,1,2026-03-19 21:19:42
Akandwanaho Osbert,exceptional,5,2026-03-19 13:54:38
A Google user,poor,1,2026-03-18 15:52:41
Derrick Harvards,it's not working 😢,1,2026-03-18 11:38:12
Barongo Davis (ARTKINZ PRO),perfect,5,2026-03-17 15:17:16
Omulur Peter,I have a problem with this app,5,2026-03-16 21:11:57
Afuzal Ssekyema,worst app ever I can't login yet I'm using there silly network.. mobile whatever fix that mtn,1,2026-03-16 19:58:41
Nantuuwa Phiona,easy to use,5,2026-03-16 19:38:08
Akello Mercy,looks like it's not meant for Samsung users,1,2026-03-16 16:30:11
Yekunu Tekel,keeps crashing!!!,1,2026-03-16 15:31:43
Okurut Stephen luke,just simple to use quick and helpful,5,2026-03-16 09:42:58
Nampeela Christine,very nice if it workz,5,2026-03-15 17:46:20
Nuurah Nakaye,this app is 0%. I am an MTN user. I have installed it multiple times but it not working. whenever I open the app it tells me to switch off WiFi and I use mtn mobile data. but after doing so it closes itself. it really annoys me.,1,2026-03-15 15:13:17
Rick Pro,very slow,1,2026-03-15 15:09:17
jude thaddeus,👍,5,2026-03-15 11:21:22
Mwisha Dominique,it's so good,2,2026-03-14 23:07:59
Gilbert Amooti,Just perfect,5,2026-03-14 08:21:49
Asher Wattles,Nice,5,2026-03-13 19:48:11
Gertrude nasanga,I love it 😍😍😍😍,5,2026-03-13 13:48:14
Junis Wise,Always available anytime,5,2026-03-13 08:55:28
Ogenduzi Philofilo,great to use the apps,5,2026-03-12 10:08:26
Alex Mukisa,l have a problem on my mtn app,5,2026-03-11 14:45:10
isaac kenyi,prestige 🫡,5,2026-03-11 12:02:38
Cj simpo Charlz,"why is it refusing to open in my phone , I mean I can't access its services it only tells me that the mobile internet is off even when I'm using MTN data",1,2026-03-11 10:03:16
Ogen Moris,my mtn app is not opening why?,5,2026-03-11 07:24:55
Masaja Cyrus,me love it that's why I have chosen mtn network the best,5,2026-03-10 21:44:45
essy muks,the app keeps on saying turn off wifi even if wifi is off and neva allows u access the it.its so annoying,1,2026-03-10 17:07:52
gwanala keneth,the app can't purchase. data it is ever off o. network,1,2026-03-06 17:20:05
Nsubuga Henry Wilberforce,This app doesn't even perform half the tasks they claim it can perform. I am unable to use it to manage my wakanet fiber account. I wish there was a way of giving a quarter star🙄🙄,1,2026-03-06 15:37:22
Tim Bin okware,not working good with my phone,1,2026-03-05 12:43:43
NIYOMUGABO jerome,useless 😞,1,2026-03-04 23:19:52
Alema Edrick,worst app. mtn you can do better,1,2026-03-04 18:56:54
MUKASA DANIEL,"it has connections issues all the time u get ""failed to establish a secure connection please try again later""",2,2026-03-04 14:13:38
SSERUNKUMA Enock,this app is nolonger working,1,2026-03-03 20:19:53
isaac mudoko,am using mtn but it's telling me invalid network so I can't access it 😔😥,1,2026-03-03 18:10:12
Janet Arap,the app can't open even if am using data only,1,2026-02-28 22:18:47
dtads,app no longer works. it keeps thinking n am connected to WiFi and closes down immediately. even though I am not connected to WiFi. its best MTN scrap the app a start again.,1,2026-02-28 21:04:59
Katinda Robert,so great 😘,5,2026-02-28 14:22:15
Phionah Kyomuhendo,the app is displaying mtn pulse why????,1,2026-02-28 12:54:41
Benjamin,this app is terrible this app is so terrible when you try to open it they say switch on your internet and when you switch on your internet they tell you you have a connection problem like literally what's wrong it is so so bad I'm very disappointing if you install it right now it won't work,1,2026-02-27 10:40:22
Christine Benedict Nassolo,the app is not responding why,4,2026-02-25 21:25:15
Najjengo Valerian,the app is not opening,1,2026-02-25 17:01:01
Kirungi Joshua,"I bought my sms package, you guys took my money plus charges and just ate it. that's stealing",1,2026-02-25 05:37:28
Sendagi Henry,how do I check my balance on data,5,2026-02-24 12:20:35
Jemmie Tim,why can't I open the app even with mobile data on,1,2026-02-23 18:56:57
Ariho Emmanuel,it is not opening........,1,2026-02-23 18:09:38
KIMULI BRENDA,"Please, fix the app. it's not working at all. I sacrificed my data to download the app but it says switch wifi and use MTN data and yet I'm using an MTN data. it has failed to open even. MTN , please fix it",1,2026-02-22 13:11:24
Joan Namakula,the app doesn't open on my device . Samsung galaxy note 9,1,2026-02-22 11:43:40
Joseph Maloba,convenient to use at any time,5,2026-02-22 07:00:41
Mugabe Davis,"failure to open , operation ,but otherwise it was good",3,2026-02-21 19:40:45
Shahid Abdul,not working on my phone,1,2026-02-21 14:38:04
Birungi Edinah,so good,5,2026-02-21 11:29:04
Kanyeheyo Rukiya,wow,5,2026-02-18 22:07:57
syed shah,mtn always is the best,5,2026-02-18 21:23:34
Murungi Isaac,"it's a good app, but I really wish it could be improved to so that it is possible for me to get help, or talk with an MTN service provider",4,2026-02-18 17:54:43
arachabon Thimothy,"it is the worst upgrade, how can the app refuse to open just because idont have data and also iwant to open it to buy data, mt please think of this and without stable connection u cant use it even though you have data.. this is not good at all",1,2026-02-18 15:15:50
Okumu Ivan Odida,"Very unreliable app When run out of data, you can't even access it to buy more data",1,2026-02-17 19:30:58
Sseguya Godfrey,my mtn app doesn't work it shows unable to establish secure connection plz try again later,1,2026-02-17 18:05:58
MICHAEL DAVIS MISANGO,Bad experience. not working,3,2026-02-17 15:55:40
Drent Livinz,the apps doesn't work,1,2026-02-17 15:12:32
Michael Palmer,"It keeps saying ""Unable to establish a secure connection, please try again later!!"" I can't use it. it won't let me!!",1,2026-02-17 08:17:57
gipaan pats,"This excuse of an app doesn't recognise mobile data. Keeps telling you to switch off WiFi, yet WiFi is not even connected to your phone",1,2026-02-16 22:18:37
Musoke Hassan,poor poor performance!,1,2026-02-16 17:10:06
Cartoon Gaming,"for installation fiber internet they have fast service but if you have some problems in your internet they will not respond , from 4 days I'm sending them msg email every day they want I want 24 hours ,so plz if any one planning for MTN fiber for business purposes be careful",1,2026-02-16 13:26:48
Liberty Emmanuel,it's not responding,1,2026-02-15 10:20:08
Luwaga Jovan,worst update ever uninstalling,1,2026-02-15 09:37:13
Rackara Emmanuel,This is actually the most annoying version of all time. The previous version was working so well but this new update haaa don't even waste your data downloading it.,1,2026-02-14 13:26:01
odoi jethro,"Mobile Data payments do not reflect at times, you check the app and it says you have the data you bought via the app, but when you dial *131# the data purchased is not there or even working when you try to use internet, and customer support seems not to be effective, I have talked to the chat bot and a customer support individual and no results that give me the data I paid for till now, very disappointing.",1,2026-02-14 10:02:22
Onencan Emmanuel,Great apps and has eased my access to mtn products,5,2026-02-13 22:27:35
Benny Lamar,"To be honest, I am an MTN die-hard user. It shouldn't go without saying that the idea of the app is a game changer however, becoming slightly worse with every update is not the way to go. Just today alone, I have deleted and uninstalled it almost 6 times because it ""Has failed to connect to the server"" please work on this issue. Display could use some real help too",1,2026-02-13 20:09:22
Kinene Rahma,what happened to this app it's not working,1,2026-02-13 10:53:34
Chemonges Enoch,why does it say turn off wifi when I am clearly using MTN data and now I can't use the app,1,2026-02-13 08:58:21
Lawrence Trevor,very poor interface n slow,2,2026-02-11 14:54:09
Marvin Cullen,"I would really want to use this app again, but it has failed whenever I install and open, it brings an invalid mobile network despite me having mtn data running. so what can I do to fix that.",1,2026-02-11 14:44:25
Isma Dk,why mtn up was not open,5,2026-02-11 13:53:32
Jesse Katumba,Better,5,2026-02-11 07:45:52
Jackson Byamungu,hello. this app doesn't work well in my smart phone. I would like to know why,1,2026-02-10 17:06:26
Da dude,For a while this app was so smooth even without loading data you could access it but all of a sudden it's now zero-rated. You can't open it now without having data even with loading data it still refuses to open 😑. Please work on this one otherwise 🚮,1,2026-02-10 11:24:09
Namu Love,reliable,3,2026-02-09 20:18:49
Bbaale Chrish,this app is good and give free Data after download but it takes long to load,1,2026-02-08 19:35:45
Masereka Ednus,very friendly to use,5,2026-02-07 19:33:37
Tara Anisha,Igive it five hundred,1,2026-02-07 16:34:59
Dusenge Aime parfait,this application is very good too have it,5,2026-02-07 12:48:52
Kasiimire Martin,it doesn't work 😭😭😭,5,2026-02-06 08:55:51
Moreen Abedirwoth,free 500 data MBs for New user,5,2026-02-05 14:14:30
Jordan Amanya,can't you restore the previous version before the mtn pulse was added into it now it buffers every chance it gets I can't even buy a bundle,1,2026-02-05 12:58:47
Ndibazza Genesis,Good so far but Im confused on how to see my current data plz help REFUSE THIS MTN PULSE FROM SHOWING ON IT PLZZ😭😭,3,2026-02-04 23:58:40
Mbambu Alice,am glad to be part of this app,5,2026-02-02 18:49:39
Iyadi Mujuni,truly mtn is the best,5,2026-02-02 07:44:42
Hafashimana Jean Felix,your app doesn't do it's fake too,2,2026-01-31 23:20:53
Nabimanya Derrick,why am I not getting my MTN uganda?,1,2026-01-30 19:17:33
Sharon Nasande,the app is telling me to turn off Wiffi,1,2026-01-29 12:23:36
Adong Susan,good app and always,5,2026-01-28 19:39:47
Raymond Aturinda,it has failed to open,1,2026-01-28 17:33:52
Nickson Arineitwe,Not effective at all,1,2026-01-28 10:50:00
Joshua Mukuru,Cool with cheap data,3,2026-01-28 09:14:30
0nena Psalms,I wasted my data and downloaded it many times and it keeps saying turn off WiFi and use only mobile data yet am using only data MTN pliz fox diz prob so dat it works on ma oppo phone,1,2026-01-28 06:49:09
Luxsonic Robert Olangu Luxsonic Robert,I like the way this app works thank you for your service too,5,2026-01-27 00:47:47
Amon Ahimbisibwe,bast app,5,2026-01-26 14:29:33
Ssendawula Paul,the app tells me to turn off Wi-Fi and use MTN internet every time I open it. it doesn't work on my Samsung. Developers work on my issue.,1,2026-01-26 09:41:32
Ndawula Pascal,it's better than MTN agents 😄 and it's fast secure and just 😎🆒,5,2026-01-26 08:09:34
Niko Niko pulo,nice to u g 🙋‍♀️,5,2026-01-24 18:03:05
Hhh,Not yet working as expected.,1,2026-01-24 15:13:04
Eddy Murphy,This app doesn't have a mobile money access only airtime,2,2026-01-24 12:46:54
Naomi enid Kasemire,only problems,5,2026-01-23 20:28:42
Never Grace,best app,5,2026-01-23 19:12:42
Mwongere Yokasi,so good but reach time and get expired were they could not give u offers,5,2026-01-23 11:50:12
Omiat Desmond,somehow cool,3,2026-01-22 17:09:53
Akia Margret,I have liked it so much,5,2026-01-22 12:20:24
Isaac Kasinguzi,it hasn't helped me,1,2026-01-22 10:24:11
Adongo Dorcus,I downloaded my mtnapp but it's not working,1,2026-01-22 10:10:41
Elly Tumuhimbise,App is good,5,2026-01-22 08:11:09
Ann Marie Nabitosi,doesn't work anymore,1,2026-01-22 00:04:37
mayeku luke,it used to work but now it's fake,1,2026-01-21 09:59:52
mophat atibo akuaku,of recent I have experienced data drained without surfing. the second experience just happened today am extremely disappointed with your service,1,2026-01-20 19:20:18
Simon Adingli Lomonyang,it has been very helpful and rescuing..,5,2026-01-20 16:23:39
SHAKIRA HUSSEIN,MTN is a scam i sent airtime using MTN i sent it on my Airtel it's been 2 days now and airtime has never been received yet they redacted it from my account you buy data without doing anything with it it's finished now they take money for free and their customer service is never available,1,2026-01-19 12:26:12
Okiring Millan Edward,"Poor UX, very slow and sluggish. Additionally the App can't work on WiFi.",1,2026-01-18 18:49:33
Babra Anyait,"This is where Airtel Uganda wins, we can access their app on data and Wifi too. i have resorted to using mtn for only incoming calls",1,2026-01-18 18:05:13
Ahumuza catherinegrace,"""unable to secure a stable connection, please try again later"" that's all it says. I try to buy data to use it, and it still says that. I am really tired of this app. it was nice at first but changes were made and it never came back the same. I hate it now.",1,2026-01-17 23:30:29
Emmanuel,I have no wifi connection yet it insists I need to turn it off.... what's with that...I'm tired of this...I quit,1,2026-01-13 06:42:14
Muwawu Moses,"VERY INCONVENIENT!! 1. Without MTN data, you can't use it. 2. I can't send money using it.",1,2026-01-12 19:58:02
Shafic Kateregga,when you tap in it.... it takes you to MTN pulse instead....,1,2026-01-12 11:52:26
Mumbere Franklic,This app is very nice especially for data and other offers,5,2026-01-11 20:39:13
LEONARD Tukashaba,its brings turn off wifi and use data. probably not fair,1,2026-01-11 00:33:37
Blaqk Nicq,This app is too good I swear,5,2026-01-10 16:48:42
Poppins Icon,unstable connections,1,2026-01-10 06:14:05
tusiime micheal,Installed the app but it doesn't open.. I'm on MTN internet but it just doesn't open. this app should just be removed from the store.... These guys are just unserious. 2026.same problem. can't login,1,2026-01-10 00:50:35
James,The app does not work. It should be removed from the Google App store.,1,2026-01-09 19:16:11
Hon Andre,this App doesn't work on my phone,1,2026-01-09 18:15:37
Wamono Akram,mine is not working,5,2026-01-08 01:11:58
Amulen Winnie,fake,1,2026-01-07 22:40:47
Jim Amanya,very fake,5,2026-01-07 21:27:31
Pius,This is mtn pulse not MTN app it's all confused up,1,2026-01-07 20:01:09
VOIKU ALORA,The app has never open for me since I installed it,1,2026-01-07 10:39:17
Harrison Wanyoto,No matter how many times I tried it wouldn't let me register an account even when I spent money to get data to do so and I wish I would put 0 stars,1,2026-01-07 10:20:27
Nanyonjo Christine,disturbing,1,2026-01-07 07:08:11
Beverly,terrible,1,2026-01-06 22:46:02
A Google user,Sending money to differet accounts and it keeps your money safe,5,2026-01-06 20:58:07
mbabazi Travor,the app was better but ur updates a destroying it though I hv data it can't open make it data charge free lyk B4 or live it coz though I hv data it can't open,1,2026-01-05 07:56:01
Atugonza Jane,good app and ⏩,5,2026-01-04 12:57:46
Hind AlHawari,Why aren't we autherized to use this app?,5,2026-01-04 08:12:50
Esther Lhoda,better,5,2026-01-04 07:08:38
Stuart Charles,its good,5,2026-01-03 16:43:37
Anzoa Kelly,it's saying that I should switch off my Wi-Fi yet it is not on,5,2026-01-03 16:11:11
Kabwama Brenda,can't open,1,2026-01-03 16:04:07
Natukunda Cleophas claire,there is a problemwith the app it's opens as a MTN pulse,1,2026-01-03 11:00:53
Humble_ËL_Proffesor,"My app is always updated but it says ""Unable to connect server🥺",1,2026-01-03 09:59:40
Suzie Q.,Great app many functions and perks more details on app about your number,4,2026-01-02 20:03:57
Brian Muwanguzi,when i open the app it shows mtn pulse instead of the my mtn screen😢,1,2025-12-31 14:06:14
Abbey bagon,Extra ordinary,5,2025-12-31 13:26:40
Favour Akullu,the apps is not responding and it's saying unable to establish secure connection. that I should try it later. what could be done,2,2025-12-30 19:38:28
AGUMA ERIC DANIEL,not opening,1,2025-12-30 17:54:48
Nassozi Gladea,whenever I try connecting the app it says switch off wifi or connect with MTN data yet data is available.......maybe it it doesn't suit my Nokia phone... MTN...please kindly address this issue,1,2025-12-30 13:02:28
Kiriisa Innocent,cant open on my phone,1,2025-12-30 12:24:34
Namitala Viola,doesn't work on sumsang,1,2025-12-29 21:30:20
Isaac Azan,no star app does not even open🤕,1,2025-12-29 19:30:28
Tumwesigye Dezi,it's good,5,2025-12-29 18:48:24
Aine Miriam Nancy,it can't open,2,2025-12-29 18:40:34
Nambuya Gorret,not allowing me to open the app with mobile data,3,2025-12-29 15:21:22
Twiikirize Apophia,"eeeh mtn let's be serious for once u can't open this app without data, I bought my data and app doesn't recognize it and doesn't open",1,2025-12-29 12:06:16
IAN TENDO,"It keeps telling me to switch from Wifi yet I'm using MTN, what a huge failure in the App by",1,2025-12-29 09:04:14
Nayebare Innocent,this app continues to bring invalid mobile network even when am using MTN data bundle. what would be the issue.,1,2025-12-29 08:06:24
Brianah Kibirige,this app is slow,3,2025-12-28 20:54:48
JOTHAM TECHNOLOGY,No need ov mastering codes 2 purchase bundles,5,2025-12-28 20:04:25
Bakama Owen,waoo,5,2025-12-28 14:12:51
Madina B,fantastic 😍😍😍,1,2025-12-28 14:11:06
LIVINGSTONE MUHANIKA,MTN is the best mobile Service Company World wide,5,2025-12-28 11:18:46
ondua brizzy,"very good network service, and it's to do any transactions at a very good rate, and u get connected even if u are abroad. u remain connected with ur family members. Even if u are not in uganda, and u can also do school fees payment using the application and are very efficient, u can even get school fees loans from the application ,u can even have over draft if u hv less amount of money in ur account and be paid back u get float so due to all said above the application is the number one app in ug",5,2025-12-28 11:16:49
Olupot Fenekas,very easy to use and interesting.,5,2025-12-28 10:52:06
Wayne Ntale,Worst MTN app ever used. It's trash,1,2025-12-28 10:10:19
Garang Deng Liel,MTN is very useful to me so I would like to thank and encourage MTN management to expanded their operation to rural areas,5,2025-12-28 09:19:02
Stella Brighton,"but why tell me to turn off wifi and use cellular data when actually its the one am using,am very much confused and pissed off",1,2025-12-28 08:04:06
Curtis Mahn,Very good,5,2025-12-27 20:19:54
Asiimwe Mugisa,ive been using MTN since it started and am still using it and my friends and family,5,2025-12-27 17:40:09
Kassim Dhabuliwo,😀,5,2025-12-27 17:04:11
Damil Martin,fake app,1,2025-12-27 11:01:49
Muwonge Joel,"very useless app, i use mtn data but is ever telling me to turn off the wifi 😠",1,2025-12-27 10:53:16
Daniel Pounds,"this app is wow, it has amazing buttons, colors, and the ui. Thanks, MTN",5,2025-12-27 10:31:17
Okiria Michael,"l love the app very much, it's easy to use and it gives me what l ask it to",5,2025-12-27 08:01:51
Victor Isiko,the app is fair,2,2025-12-26 21:24:15
Brenda Kusiima abooki,refusing to open,1,2025-12-26 19:27:45
Benson Ogwal kamilo,free mbs 500,5,2025-12-26 15:51:06
Rayan Giggs,can't be used on my Samsung A12,2,2025-12-26 13:19:53
Tumuhimbise Joseline,fast and cheap to use,5,2025-12-26 12:37:12
Omid Nabizadah (Sadam),ok,5,2025-12-25 17:00:19
Namyalo Beat,you lied that I can get a free Christmas bundle which u didn't give me,2,2025-12-25 12:42:27
Ogweta James,the app failed to work. It reads close your WiFi settings and use myn data so I still need more light on its usage,2,2025-12-25 11:58:24
Kanyesigye Amon,you're app is not specialized it collides with mtn pulse when I open it then sort☹️☹️☹️,1,2025-12-25 10:01:50
KASUMBA David,I have not yet received my mbs,2,2025-12-24 16:22:38
Liyima Denis,nice 👍,5,2025-12-24 13:57:20
Louis Lexham,great 👌,5,2025-12-23 01:29:35
Tayebwa Alishia,it's so fake 🤥,1,2025-12-22 18:12:07
anthony odeke,very useless app because it also requires data for you to use it,2,2025-12-22 05:05:28
Kisembo Julius,it fails to open most times,1,2025-12-21 22:54:27
Abonyo Racheal,"Despite google says there is the possibility to pay fees and government taxes, the reality is NO, there isn't. Besides, they don't allow to use wi-fi, only MTN data. App of garbage.",1,2025-12-21 16:28:23
SSENDAWULA KENNETH,it's good and faster,5,2025-12-21 14:13:51
Francis Bill,cool,5,2025-12-20 23:47:19
Womugisa Comfort,smooth,5,2025-12-20 17:09:35
Godi John,"This app can't work in my Nokia 2.4 android phone even after downloading and installing it several times. it always shows to switch off Wi-Fi and turn on Mtn data. I don't know whether this situation can be fixed by the app developer. l rather have zero rating of the app at the moment, very useless",1,2025-12-19 20:27:45
janefrancis mirembe,I didn't download mtnpulse why is it not showing my mtn app features,2,2025-12-18 13:44:28
Ferdinand Smith,"this is my best app for sending money, buying data, and airtime",5,2025-12-18 08:11:21
Paul Musoke,"for sone reason, it just fails to open sometimes...even when data is on",1,2025-12-18 05:35:31
rusengye brian,it's very useful and good to use,5,2025-12-17 20:05:25
Jonathan Y Teah,good job,5,2025-12-17 18:44:46
Wyclife Nkamwesiga,"why is it that everytime I open it, I end up in mtn pulse",1,2025-12-17 12:52:30
Kabugho Harriet,I can't give it any star because it doesn't work on my phone. samsung. it says turn off WiFi even when am not using it,1,2025-12-17 05:34:03
Nyaika Joshua,"this app is not opening, it's asking me to turn off my wifi and use mtn data yet I don't have any WiFi connection",1,2025-12-16 21:27:17
Drake John,Don't know but it's refusing to work on my device please I need your help I prefer using it. It says that switch off wifi connection and use network yet there is no wifi,1,2025-12-16 18:54:23
Swaleh Saeed,I love it,5,2025-12-16 17:55:47
